subject,subjNum,condition,runNum,trial,playerNum,endowment,propReturned,returned,trialRT,optimal_choice,binned_trial_num
7,4007,1,1,1,1,0,0,0,1.604275999,0,1
7,4007,1,1,2,2,7.5,0.3,9,2.650506273,10,1
7,4007,1,1,3,2,2.5,0.5,5,2.351422889,10,2
7,4007,1,1,4,2,-1,0.5,-1,-1,10,3
7,4007,1,1,5,2,7.5,0.45,13.5,2.604678158,10,4
7,4007,1,1,6,2,5,0.45,9,2.630706699,10,5
7,4007,1,1,7,1,7.5,0,0,2.174680538,0,2
7,4007,1,1,8,2,10,0.45,18,2.398967072,10,6
7,4007,1,1,9,4,-1,0.5,-1,-1,10,1
7,4007,1,1,10,3,-1,0.2,-1,-1,0,1
7,4007,1,1,11,3,2.5,0.25,2.5,1.138080653,10,2
7,4007,1,1,12,2,10,0.35,14,1.057119846,10,7
7,4007,1,1,13,3,5,0.2,4,1.63841306,0,3
7,4007,1,1,14,1,10,0.2,8,2.387988892,0,3
7,4007,1,1,15,3,0,0.15,0,1.569735285,0,4
7,4007,1,1,16,2,7.5,0.5,15,0.808246833,10,8
7,4007,1,1,17,1,2.5,0.1,1,1.753553651,0,4
7,4007,1,1,18,3,2.5,0.15,1.5,1.395407872,0,5
7,4007,1,1,19,4,0,0.05,0,2.399626992,0,2
7,4007,1,1,20,3,0,0.35,0,1.211680724,10,6
7,4007,1,1,21,3,5,0.25,5,1.012684153,10,7
7,4007,1,1,22,2,10,0.4,16,1.718845657,10,9
7,4007,1,1,23,4,0,0.25,0,1.332270922,10,3
7,4007,1,1,24,1,10,0.15,6,1.792358592,0,5
7,4007,1,1,25,2,7.5,0.5,15,1.162739521,10,10
7,4007,1,1,26,2,7.5,0.4,12,1.09356069,10,11
7,4007,1,1,27,3,0,0.35,0,1.548741853,10,8
7,4007,1,1,28,3,2.5,0.25,2.5,1.050232237,10,9
7,4007,1,1,29,2,7.5,0.35,10.5,1.273293815,10,12
7,4007,1,1,30,4,5,0.1,2,1.665442265,0,4
7,4007,1,2,31,3,2.5,0.3,3,1.482354099,10,10
7,4007,1,2,32,4,0,0,0,1.035910268,0,5
7,4007,1,2,33,1,7.5,0.05,1.5,0.847933657,0,6
7,4007,1,2,34,1,0,0.1,0,1.543788678,0,7
7,4007,1,2,35,2,2.5,0.5,5,1.218013513,10,13
7,4007,1,2,36,4,2.5,0.3,3,1.788053778,10,6
7,4007,1,2,37,3,2.5,0.3,3,1.488333869,10,11
7,4007,1,2,38,4,5,0.25,5,2.558258444,10,7
7,4007,1,2,39,4,2.5,0.2,2,1.60307906,0,8
7,4007,1,2,40,1,5,0.05,1,2.455923762,0,8
7,4007,1,2,41,1,2.5,0.15,1.5,2.301716632,0,9
7,4007,1,2,42,3,2.5,0.3,3,1.914530003,10,12
7,4007,1,2,43,4,5,0.45,9,1.618992629,10,9
7,4007,1,2,44,2,2.5,0.45,4.5,1.324048884,10,14
7,4007,1,2,45,1,2.5,0.05,0.5,1.500858279,0,10
7,4007,1,2,46,3,7.5,0.25,7.5,1.379120487,10,13
7,4007,1,2,47,1,0,0,0,2.687242563,0,11
7,4007,1,2,48,4,5,0.3,6,2.568724984,10,10
7,4007,1,2,49,4,5,0.35,7,2.040503077,10,11
