subject,subjNum,condition,runNum,trial,playerNum,endowment,propReturned,returned,trialRT,optimal_choice,binned_trial_num,delta,q_val
4,4004,1,1,7,2,10,0.5,20,0.93809101,10,3,5.322648995,7.877456995
4,4004,1,1,8,4,0,0,0,0.932379299,0,2,-0.89539344,0.787178946
4,4004,1,1,9,1,2.5,0.1,1,2.325042568,0,3,-1.71722879,0.009689807
4,4004,1,1,10,4,5,0.35,7,1.391049282,10,3,1.229505555,1.509703079
4,4004,1,1,11,3,5,0.25,5,1.580346803,10,2,-0.842646196,0.740806572
4,4004,1,1,12,4,10,0.2,8,1.099940705,0,4,-3.501515974,1.078333537
4,4004,1,1,13,2,10,0.5,20,1.064651665,10,4,2.157069433,9.139813157
4,4004,1,1,14,3,2.5,0.3,3,1.400630788,10,3,-0.264796485,0.732793997
4,4004,1,1,15,2,10,0.5,20,1.151710626,10,5,0.862759592,9.655952452
4,4004,1,1,16,3,5,0.25,5,1.706118988,10,4,-0.755996344,0.664628955
4,4004,1,1,17,3,7.5,0.3,9,1.155972142,10,5,0.835371045,1.166874338
4,4004,1,1,18,3,7.5,0.35,10.5,0.98965681,10,6,1.833125662,2.268994056
4,4004,1,1,19,1,0,0.15,0,0.962816885,0,4,-0.143606664,0.126250805
4,4004,1,1,20,1,0,0,0,0.54716024,0,5,-0.126250805,0.110992521
4,4004,1,1,21,3,7.5,0.2,6,1.324750837,0,7,-3.766372136,1.811179999
4,4004,1,1,22,2,10,0.45,18,0.768510704,10,6,-1.681155801,9.477976489
4,4004,1,1,23,2,10,0.4,16,0.871674382,10,7,-3.477976489,9.057638962
4,4004,1,1,24,3,7.5,0.3,9,1.318643548,10,8,-0.26105415,1.729503949
4,4004,1,1,25,1,0,0.2,0,0.773881876,0,6,-0.021736416,0.01910942
4,4004,1,1,26,1,0,0,0,0.660061991,0,7,-0.01910942,0.016799914
4,4004,1,1,27,3,7.5,0.25,7.5,1.21862827,10,9,-1.729107093,1.520132536
